"","tank","sync.x","block.x","trt.x","order.x","trt.y","order.y","sd","se","ci","cont","adj","biom_cont","emer_cont","emsd_cont","mass_cont","surv_cont","X","block.y","trt","order","sync.y","surv","biom","mass","emer","emsd","rana"
"28",6,"low",1,"same_low","same","cont_low","cont",0.03,0.02,0.28,0.58,0,NA,NA,NA,NA,0.58,6,1,"same_low","same","low",0.422222222222222,3223.7,169.668421052632,68.4736842105263,26.160547949266,0.4
"29",6,"low",1,"same_low","same","cont_low","cont",10.2,1.4,2.9,33.4,0,NA,33.4,NA,NA,NA,6,1,"same_low","same","low",0.422222222222222,3223.7,169.668421052632,68.4736842105263,26.160547949266,0.4
"30",6,"low",1,"same_low","same","cont_low","cont",0.8,0.6,7.6,10.3,0,NA,NA,10.3,NA,NA,6,1,"same_low","same","low",0.422222222222222,3223.7,169.668421052632,68.4736842105263,26.160547949266,0.4
"31",7,"high",1,"late_high","late","cont_high","cont",41.9,6.2,12.4,177.2,0,NA,NA,NA,177.2,NA,7,1,"late_high","late","high",0.577777777777778,4558.1,175.311538461538,102.423076923077,18.0602836675908,0
"32",7,"high",1,"late_high","late","cont_high","cont",5.6,4,50.2,15.1,0,NA,NA,15.1,NA,NA,7,1,"late_high","late","high",0.577777777777778,4558.1,175.311538461538,102.423076923077,18.0602836675908,0
"33",7,"high",1,"late_high","late","cont_high","cont",24.4,3.3,6.5,55.8,0,NA,55.8,NA,NA,NA,7,1,"late_high","late","high",0.577777777777778,4558.1,175.311538461538,102.423076923077,18.0602836675908,0
"34",7,"high",1,"late_high","late","cont_high","cont",1678.3,1186.7,15078.9,5035.4,0,5035.4,NA,NA,NA,NA,7,1,"late_high","late","high",0.577777777777778,4558.1,175.311538461538,102.423076923077,18.0602836675908,0
"35",7,"high",1,"late_high","late","cont_high","cont",0.22,0.16,1.98,0.62,0,NA,NA,NA,NA,0.62,7,1,"late_high","late","high",0.577777777777778,4558.1,175.311538461538,102.423076923077,18.0602836675908,0
"36",8,"med",1,"late_med","late","cont_med","cont",497.2,351.6,4467.5,6102.8,0,6102.8,NA,NA,NA,NA,8,1,"late_med","late","med",0.444444444444444,4241.46910069178,214.305555555556,120.2,17.7426040929735,0.133333333333333
"37",8,"med",1,"late_med","late","cont_med","cont",45.8,6.1,12.3,197.4,0,NA,NA,NA,197.4,NA,8,1,"late_med","late","med",0.444444444444444,4241.46910069178,214.305555555556,120.2,17.7426040929735,0.133333333333333
"38",8,"med",1,"late_med","late","cont_med","cont",1.3,0.9,11.9,16.9,0,NA,NA,16.9,NA,NA,8,1,"late_med","late","med",0.444444444444444,4241.46910069178,214.305555555556,120.2,17.7426040929735,0.133333333333333
"39",8,"med",1,"late_med","late","cont_med","cont",16.8,2.1,4.3,43.8,0,NA,43.8,NA,NA,NA,8,1,"late_med","late","med",0.444444444444444,4241.46910069178,214.305555555556,120.2,17.7426040929735,0.133333333333333
