tank,measurement,value
43,hw,0.946
43,svl,1.559
43,hw,1.152
43,svl,1.663
43,hw,0.821
43,svl,1.309
43,hw,0.967
43,svl,1.596
43,hw,0.773
43,svl,1.203
43,hw,1.128
43,svl,1.863
43,hw,1.255
43,svl,1.874
43,hw,0.977
43,svl,1.615
43,hw,0.853
43,svl,1.47
43,hw,0.693
43,svl,1.148
43,hw,1.028
43,svl,1.565
43,hw,1.087
43,svl,1.616
43,hw,1.075
43,svl,1.645
43,hw,1.225
43,svl,1.886
43,hw,1.062
43,svl,1.647
43,hw,1.221
43,svl,2.042
44,hw,1.334
44,svl,2.014
44,hw,0.9
44,svl,1.294
44,hw,0.84
44,svl,1.148
44,hw,1.402
44,svl,2.188
47,hw,0.921
47,svl,1.439
47,hw,1.158
47,svl,1.808
47,hw,0.897
47,svl,1.223
47,hw,1.134
47,svl,1.891
47,hw,1.167
47,svl,1.713
48,hw,0.914
48,svl,1.704
48,hw,1.055
48,svl,1.826
48,hw,0.91
48,svl,1.603
48,hw,0.88
48,svl,1.558
48,hw,0.845
48,svl,1.575
48,hw,0.887
48,svl,1.654
48,hw,0.824
48,svl,1.484
48,hw,0.903
48,svl,1.638
48,hw,0.865
48,svl,1.613
48,hw,0.891
48,svl,1.681
48,hw,0.936
48,svl,1.674
48,hw,0.983
48,svl,1.711
48,hw,0.861
48,svl,1.5
48,hw,0.97
48,svl,1.764
48,hw,1.008
48,svl,1.93
48,hw,0.949
48,svl,1.597
48,hw,0.9
48,svl,1.696
49,hw,0.729
49,svl,1.254
49,hw,0.843
49,svl,1.279
49,hw,0.984
49,svl,1.5
49,hw,0.985
49,svl,1.455
49,hw,0.817
49,svl,1.32
49,hw,1.046
49,svl,1.598
49,hw,0.999
49,svl,1.564
51,hw,1.514
51,svl,2.404
51,hw,1.185
51,svl,1.928
52,hw,1.081
52,svl,1.905
52,hw,0.968
52,svl,1.795
52,hw,1.1
52,svl,1.862
52,hw,1.072
52,svl,1.805
52,hw,1.119
52,svl,1.642
52,hw,0.942
52,svl,1.69
52,hw,1.095
52,svl,1.873
53,hw,0.758
53,svl,1.356
53,hw,0.989
53,svl,1.77
53,hw,0.958
53,svl,1.491
53,hw,0.73
53,svl,1.311
53,hw,1.296
53,svl,2.218
53,hw,1.118
53,svl,2.065
53,hw,1.117
53,svl,2.051
53,hw,1.015
53,svl,1.913
53,hw,1.008
53,svl,1.862
53,hw,1.106
53,svl,1.955
55,hw,0.955
55,svl,1.674
55,hw,0.879
55,svl,1.626
55,hw,0.972
55,svl,1.702
55,hw,0.841
55,svl,1.479
55,hw,0.857
55,svl,1.667
55,hw,0.923
55,svl,1.848
55,hw,0.847
55,svl,1.447
55,hw,0.799
55,svl,1.478
55,hw,1.151
55,svl,2.028
55,hw,0.886
55,svl,1.504
55,hw,0.807
55,svl,1.403
55,hw,0.801
55,svl,1.307
55,hw,1.269
55,svl,2.069
55,hw,1.202
55,svl,2.156
57,hw,1.129
57,svl,1.662
57,hw,1.126
57,svl,1.771
57,hw,0.785
57,svl,1.284
57,hw,0.954
57,svl,1.558
57,hw,1.338
57,svl,2.079
57,hw,1.165
57,svl,1.808
57,hw,1.081
57,svl,1.828
57,hw,0.993
57,svl,1.58
57,hw,0.961
57,svl,1.441
57,hw,0.914
57,svl,1.508
57,hw,0.914
57,svl,1.445
57,hw,0.97
57,svl,1.738
57,hw,0.985
57,svl,1.487
57,hw,0.983
57,svl,1.555
57,hw,0.976
57,svl,1.434
57,hw,0.936
57,svl,1.562
57,hw,1.206
57,svl,1.881
57,hw,0.958
57,svl,1.633
57,hw,0.994
57,svl,1.549
58,hw,1.669
58,svl,2.482
58,hw,1.215
58,svl,2.014
58,hw,1.535
58,svl,2.341
58,hw,1.452
58,svl,2.169
59,hw,1.229
59,svl,1.866
